title,url
Wi-Fi Alliance Brings Wi-Fi 6 into 6 GHz,https://www.wi-fi.org/news-events/newsroom/wi-fi-alliance-brings-wi-fi-6-into-6-ghz
Renowned Entomologist Says ‘Get Rid of Your Lawn’,https://news.wttw.com/2019/10/02/fearing-insect-apocalypse-renowned-entomologist-says-get-rid-your-lawn
Clojure for the Erlang VM,http://clojerl.org/
"Donald Knuth: Algorithms, Complexity, Life, and the Art of Programming [video]",https://youtube.com/watch?list=PLrAXtmErZgOdP_8GztsuKi9nrraNbKKp4&v=2BdBfsXbST8
Survey of scientists sheds light on reproducibility crisis (2016),https://www.nature.com/news/1-500-scientists-lift-the-lid-on-reproducibility-1.19970
"Intel Has PCIe 4.0 Optane SSDs Ready, but Nothing to Plug Them Into",https://www.tomshardware.com/news/intel-has-pcie-40-optane-ssds-ready-but-nothing-to-plug-them-in-to
Ask HN: I've been slacking off at Google for 6 years. How can I stop this?,item?id=21961560
Anti-patterns and malpractices in modern software development (2015),https://web.archive.org/web/20160308032127/https://medium.com/@bryanedds/living-in-the-age-of-software-fuckery-8859f81ca877
Oracle copied Amazon’s API – was that copyright infringement?,https://arstechnica.com/tech-policy/2020/01/oracle-copied-amazons-api-was-that-copyright-infringement/
Top Paying Tech Companies by SWE Level,https://drive.google.com/file/d/19ne7ccUdOWewD4rFDQjjnQEJDgsmgFID/view
Performance variation in ‘identical’ processors,http://shape-of-code.coding-guidelines.com/2020/01/05/performance-variation-in-2386-identical-processors/
"Parcel – Fast, zero-configuration web application bundler",https://parceljs.org/
Dealing with Loneliness,https://manojsurya.com/loneliness-how-to-identify-and-deal-with-it/
Why I use R,https://blog.shotwell.ca/posts/why_i_use_r/
2019 in Review,https://rauchg.com/2020/2019-in-review
How Much Land Does a Man Need? (1886),https://www.online-literature.com/tolstoy/2738/
A former Egyptian engineer found the secret to building a big gas-station chain,https://www.seattletimes.com/business/local-business/station-master-how-an-engineer-from-egypt-built-one-of-the-biggest-gas-station-chains-in-the-northwest/
The Most Abandoned Books on GoodReads (2019),https://www.gwern.net/GoodReads
Musings on the Current Status of High Energy Physics,https://arxiv.org/abs/2001.00101
15ft tumbleweeds trap drivers and force Washington state road closure,https://www.theguardian.com/us-news/2020/jan/01/tumbleweeds-trap-drivers-force-road-closure-washington
A Guide to WebAuthn,https://webauthn.guide/
The Polygons of Another World: IBM PC,http://fabiensanglard.net/another_world_polygons_PC_DOS/index.html
"Kubernetes Opportunities, Challenges Escalated in 2019",https://www.sdxcentral.com/articles/news/kubernetes-opportunities-challenges-escalated-in-2019/2019/12/
A History of Silicon Valley,https://www.scaruffi.com/svhistory/silicon.html
Masterminds of Programming: Chuck Moore (2009),https://www.oreilly.com/library/view/masterminds-of-programming/9780596801670/ch04.html
Chime – A Go Editor for macOS,https://www.chimehq.com/
The Compleat History of Shredding (2002),https://www.baltimoresun.com/news/bs-xpm-2002-02-10-0202110302-story.html
How Billion Dollar Marketplaces Are Built,https://www.nfx.com/post/billion-dollar-marketplace-thumbtack
Amazon has long ruled the cloud – now it must fend off rivals,https://www.wsj.com/articles/amazon-has-long-ruled-the-cloud-now-it-must-fend-off-rivals-11578114008
Bio-coal: A renewable and producible fuel from lignocellulosic biomass,https://advances.sciencemag.org/content/6/1/eaay0748
